CountryCode,Language,IsOfficial,Percentage,_metadata_timestamp,_metadata_read_timestamp,_metadata_read_method,_metadata_source_type,_metadata_deleted,_metadata_change_type,_metadata_uuid,_metadata_log_file,_metadata_log_position
LVA,Latvian,T,55.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,886c6db9-bf46-41af-9ddb-603832e2a89e,,0
GNB,Balante,F,14.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,c912559e-ed90-4c13-8afb-03e76b460143,,0
IRN,Gilaki,F,5.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,92336229-8b1a-4170-b436-41b6ba282eaf,,0
BEL,French,T,32.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,4fd54d8a-a8bc-456e-b00f-79413f24a536,,0
UZB,Kazakh,F,3.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,1f42ca50-d8fa-4225-ba50-8b57d972496b,,0
ABW,Dutch,T,5.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,f4bfca4e-ecb0-4d63-91a4-04ccc9b20ff9,,0
VNM,Muong,F,1.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,bf85cbfc-a52a-4e85-bfec-9fa3cb24692b,,0
TUN,Arabic-French,F,26.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,e6298bfd-ff7d-4bdc-9c55-aa5874f32b05,,0
NGA,Kanuri,F,4.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,56268db4-9d9b-4a4e-8724-e8b5169b8f12,,0
MUS,Creole French,F,70.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,65c2600b-21e6-4d24-9973-872010317a65,,0
BFA,Mossi,F,50.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,24d62ce8-6eea-4023-966c-ed33541cccb2,,0
BGR,Turkish,F,9.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,def1004c-3b0a-4aed-801c-dd0fec55b62a,,0
NPL,Newari,F,3.7,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2ac9fd57-f813-4f6f-9e5e-76929ae53155,,0
GHA,Mossi,F,15.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,451e0259-4a28-43ad-ae94-efa08e160717,,0
AGO,Ambo,F,2.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,3700fe5b-173f-4fde-bdf9-888fd9f6e80c,,0
IRN,Arabic,F,2.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,8a377dd1-4f34-4e66-a49d-b7d3ceab407c,,0
MEX,Otomí,F,0.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,0c0eaf09-08b4-4fae-abec-510c1af884ae,,0
CPV,Crioulo,F,100,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,132d1f1d-409c-420f-9d89-e7cf5b4ef330,,0
UGA,Rwanda,F,3.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,909aa2c1-5f85-4fd6-a6c5-667984b8af45,,0
KGZ,Tadzhik,F,0.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,2fe95393-68a9-4abd-a67d-2335ec476b5c,,0
BOL,Ketšua,T,8.1,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,b0a5fddc-cfd9-4ee8-8cf5-e521527f19a2,,0
SLB,Papuan Languages,F,8.6,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,179e22af-a0ca-43b1-a23a-1f1a067a49d8,,0
ZAF,Ndebele,F,1.5,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,cca81c6e-e1bf-42a4-ae49-22caca2000aa,,0
CZE,Czech,T,81.2,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,7614bfbf-ce28-4e3c-86e2-082aacd3eaf0,,0
VNM,Tho,F,1.8,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,560430d1-a528-4d2e-8b77-10ab002e6b98,,0
GNB,Crioulo,F,36.4,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,270395fd-4a6d-42b3-83c4-9cef96da8232,,0
ROM,Ukrainian,F,0.3,2023-06-22 18:25:25.000000 UTC,2023-06-22 18:25:25.000000 UTC,mysql-backfill-fulldump,mysql,false,INSERT,fab18eb1-5892-4b2d-b88e-c11b1ef59985,,0
